code,name,population,area,type,level,lat,lon
30821,Groß-Enzersdorf,8532,83.9058,Gemeinde,6,48.2,16.55
30822,Großhofen,88,6.1834,Gemeinde,6,48.26,16.62
30824,Groß-Schweinbarth,1322,24.9451,Gemeinde,6,48.41,16.63
30825,Haringsee,1152,27.1145,Gemeinde,6,48.19,16.79
30826,Hauskirchen,1254,22.0229,Gemeinde,6,48.61,16.76
30827,Hohenau an der March,2805,23.3784,Gemeinde,6,48.6,16.91
30828,Hohenruppersdorf,900,21.3718,Gemeinde,6,48.46,16.66
30829,Jedenspeigen,1118,23.2197,Gemeinde,6,48.5,16.87
30830,Lassee,2361,55.6272,Gemeinde,6,48.23,16.82
30831,Leopoldsdorf im Marchfelde,2390,28.9549,Gemeinde,6,48.22,16.69
30834,Mannsdorf an der Donau,403,10.3136,Gemeinde,6,48.15,16.66
30835,Marchegg,2858,45.5237,Gemeinde,6,48.28,16.91
30836,Markgrafneusiedl,818,19.8193,Gemeinde,6,48.27,16.63
30838,Matzen-Raggendorf,2554,35.5906,Gemeinde,6,48.41,16.66
30841,Neusiedl an der Zaya,1259,17.6061,Gemeinde,6,48.6,16.79
30842,Obersiebenbrunn,1537,26.9315,Gemeinde,6,48.27,16.71
30844,Orth an der Donau,1971,33.4107,Gemeinde,6,48.15,16.7
30845,Palterndorf-Dobermannsdorf,1249,18.6573,Gemeinde,6,48.59,16.82
30846,Parbasdorf,146,10.2293,Gemeinde,6,48.28,16.59
30848,Prottes,1288,13.7276,Gemeinde,6,48.38,16.74
30849,Raasdorf,562,13.2092,Gemeinde,6,48.25,16.56
30850,Ringelsdorf-Niederabsdorf,1393,32.4633,Gemeinde,6,48.57,16.86
30852,Schönkirchen-Reyersdorf,1871,17.8862,Gemeinde,6,48.37,16.69
30854,Spannberg,971,19.5583,Gemeinde,6,48.47,16.74
30856,Strasshof an der Nordbahn,7534,11.6339,Gemeinde,6,48.32,16.64
30857,Sulz im Weinviertel,1166,31.3744,Gemeinde,6,48.49,16.69
30858,Untersiebenbrunn,1459,30.4901,Gemeinde,6,48.25,16.74
30859,Velm-Götzendorf,755,17.7345,Gemeinde,6,48.47,16.78
30860,Weikendorf,1940,46.3054,Gemeinde,6,48.34,16.77
30863,Zistersdorf,5499,88.6641,Gemeinde,6,48.55,16.76
30865,Weiden an der March,925,55.7756,Gemeinde,6,48.31,16.85
30902,Amaliendorf-Aalfang,1168,8.0386,Gemeinde,6,48.83,15.08
30903,Brand-Nagelberg,1774,36.6369,Gemeinde,6,48.85,14.99
30904,Eggern,755,20.2103,Gemeinde,6,48.91,15.15
30906,Eisgarn,674,22.5019,Gemeinde,6,48.92,15.1
30908,Gmünd,5733,25.1053,Gemeinde,6,48.77,14.99
30909,Großdietmanns,2176,39.9274,Gemeinde,6,48.67,14.97
30910,Bad Großpertholz,1564,82.4013,Gemeinde,6,48.63,14.82
30912,Großschönau,1271,41.9556,Gemeinde,6,48.65,14.94
30913,Moorbad Harbach,691,35.5066,Gemeinde,6,48.7,14.8
30915,Haugschlag,507,22.6562,Gemeinde,6,49.0,15.06
30916,Heidenreichstein,4370,58.4262,Gemeinde,6,48.87,15.12
30917,Hirschbach,606,7.8972,Gemeinde,6,48.74,15.13
30920,Hoheneich,1530,15.5999,Gemeinde,6,48.77,15.03
30921,Kirchberg am Walde,1453,37.7829,Gemeinde,6,48.73,15.09
30925,Litschau,2368,81.0627,Gemeinde,6,48.94,15.05
30929,Reingers,694,24.9203,Gemeinde,6,48.97,15.15
30932,Sankt Martin,1157,49.3331,Gemeinde,6,48.66,14.84
30935,Schrems,5696,60.8275,Gemeinde,6,48.79,15.07
30939,Unserfrau-Altweitra,1022,40.1913,Gemeinde,6,48.72,14.88
30940,Waldenstein,1213,22.7318,Gemeinde,6,48.73,15.02
30942,Weitra,2839,52.5317,Gemeinde,6,48.7,14.89
31001,Alberndorf im Pulkautal,710,9.8814,Gemeinde,6,48.7,16.1
31008,Göllersdorf,2932,59.5469,Gemeinde,6,48.49,16.12
31009,Grabern,1358,30.9424,Gemeinde,6,48.61,16.27
31014,Guntersdorf,1103,28.4172,Gemeinde,6,48.65,16.05
31015,Hadres,1695,34.4457,Gemeinde,6,48.71,16.14
31016,Hardegg,1460,93.2778,Gemeinde,6,48.85,15.86
31018,Haugsdorf,1654,21.2348,Gemeinde,6,48.71,16.08
31019,Heldenberg,1104,27.3908,Gemeinde,6,48.49,15.94
31021,Hohenwarth-Mühlbach a.M.,1263,43.6015,Gemeinde,6,48.5,15.82
31022,Hollabrunn,11059,152.3328,Gemeinde,6,48.56,16.08
31025,Mailberg,589,15.737,Gemeinde,6,48.67,16.18
31026,Maissau,1856,43.1323,Gemeinde,6,48.57,15.82
31028,Nappersdorf-Kammersdorf,1292,38.8662,Gemeinde,6,48.62,16.21
31033,Pernersdorf,1013,25.8321,Gemeinde,6,48.7,16.02
31035,Pulkau,1539,36.6655,Gemeinde,6,48.71,15.86
31036,Ravelsbach,1735,26.359,Gemeinde,6,48.55,15.85
31037,Retz,4142,45.0036,Gemeinde,6,48.76,15.95
31038,Retzbach,1064,18.1601,Gemeinde,6,48.78,15.98
31041,Schrattenthal,900,22.429,Gemeinde,6,48.72,15.91
31042,Seefeld-Kadolz,973,21.8758,Gemeinde,6,48.71,16.18
31043,Sitzendorf an der Schmida,2229,61.8369,Gemeinde,6,48.6,15.94
31051,Wullersdorf,2399,63.9143,Gemeinde,6,48.63,16.1
31052,Zellerndorf,2608,41.1276,Gemeinde,6,48.7,15.95
31053,Ziersdorf,3310,48.7128,Gemeinde,6,48.52,15.92
31101,Altenburg,820,28.1259,Gemeinde,6,48.65,15.59
31102,Brunn an der Wild,842,32.0182,Gemeinde,6,48.69,15.52
31103,Burgschleinitz-Kühnring,1432,41.8492,Gemeinde,6,48.6,15.78
31104,Drosendorf-Zissersdorf,1293,53.46,Gemeinde,6,48.77,15.52
31105,Eggenburg,3583,23.5338,Gemeinde,6,48.64,15.81
31106,Gars am Kamp,3602,50.4658,Gemeinde,6,48.58,15.65
31107,Geras,1400,67.6923,Gemeinde,6,48.78,15.67
31109,Horn,6402,39.2412,Gemeinde,6,48.66,15.66
31110,Irnfritz-Messern,1395,55.9631,Gemeinde,6,48.73,15.53
31111,Japons,780,29.3809,Gemeinde,6,48.78,15.57
31113,Langau,733,22.2155,Gemeinde,6,48.82,15.7
31114,Meiseldorf,957,35.4329,Gemeinde,6,48.66,15.77
31117,Pernegg,717,36.5629,Gemeinde,6,48.73,15.62
31119,Röhrenbach,603,25.1189,Gemeinde,6,48.66,15.51
31120,Röschitz,1037,21.1714,Gemeinde,6,48.67,15.89
31121,Rosenburg-Mold,959,30.6639,Gemeinde,6,48.63,15.67
31123,Sankt Bernhard-Frauenhofen,1269,29.4778,Gemeinde,6,48.69,15.58
31124,Sigmundsherberg,1792,47.9563,Gemeinde,6,48.69,15.75
31129,Weitersfeld,1668,87.1891,Gemeinde,6,48.78,15.81
31130,Straning-Grafenberg,765,26.4696,Gemeinde,6,48.62,15.86
31201,Bisamberg,4077,10.7342,Gemeinde,6,48.33,16.36
31202,Enzersfeld,1477,9.8402,Gemeinde,6,48.36,16.42
